codigo_ciudad,courier_ID,dia,hora_inicio,hora_final,accion
VEC,R001,09/09/2024,13:30,18:30,BOOK
VEC,R001,09/09/2024,19:30,22:30,BOOK
VEC,R001,10/09/2024,07:30,12:00,BOOK
VEC,R001,10/09/2024,18:00,21:30,BOOK
VEC,R001,11/09/2024,06:30,12:00,BOOK
VEC,R001,11/09/2024,16:00,18:30,BOOK
VEC,R001,12/09/2024,13:00,21:00,BOOK
VEC,R001,13/09/2024,09:00,12:00,BOOK
VEC,R001,13/09/2024,16:30,21:30,BOOK
VEC,R002,10/09/2024,07:00,11:00,BOOK
VEC,R002,10/09/2024,16:00,19:00,BOOK
VEC,R002,11/09/2024,12:30,16:00,BOOK
VEC,R002,11/09/2024,19:30,23:00,BOOK
VEC,R002,12/09/2024,16:30,23:30,BOOK
VEC,R002,13/09/2024,13:00,15:00,BOOK
VEC,R002,13/09/2024,17:30,22:30,BOOK
VEC,R002,14/09/2024,13:00,15:00,BOOK
VEC,R002,14/09/2024,18:00,23:00,BOOK
VEC,R003,11/09/2024,13:30,17:30,BOOK
VEC,R003,11/09/2024,21:00,23:00,BOOK
VEC,R003,12/09/2024,12:30,16:30,BOOK
VEC,R003,12/09/2024,19:30,21:30,BOOK
VEC,R003,13/09/2024,14:30,18:00,BOOK
VEC,R003,13/09/2024,21:30,00:00,BOOK
VEC,R003,14/09/2024,15:00,17:30,BOOK
VEC,R003,14/09/2024,20:30,00:00,BOOK
VEC,R003,15/09/2024,13:30,15:30,BOOK
VEC,R003,15/09/2024,17:30,21:30,BOOK
VEC,R004,09/09/2024,13:00,18:30,BOOK
VEC,R004,09/09/2024,20:30,23:00,BOOK
VEC,R004,12/09/2024,06:30,12:00,BOOK
VEC,R004,12/09/2024,19:30,22:00,BOOK
VEC,R004,13/09/2024,13:00,15:00,BOOK
VEC,R004,13/09/2024,16:30,22:30,BOOK
VEC,R004,14/09/2024,13:30,18:30,BOOK
VEC,R004,14/09/2024,19:30,22:30,BOOK
VEC,R004,15/09/2024,12:30,15:00,BOOK
VEC,R004,15/09/2024,17:00,22:30,BOOK
VEC,R005,09/09/2024,13:00,15:00,BOOK
VEC,R005,09/09/2024,18:30,21:30,BOOK
VEC,R005,10/09/2024,14:30,17:30,BOOK
VEC,R005,10/09/2024,19:30,21:30,BOOK
VEC,R005,13/09/2024,13:30,16:30,BOOK
VEC,R005,13/09/2024,19:30,21:30,BOOK
VEC,R005,14/09/2024,13:00,15:00,BOOK
VEC,R005,14/09/2024,18:30,21:30,BOOK
VEC,R005,15/09/2024,14:30,17:30,BOOK
VEC,R005,15/09/2024,19:30,21:30,BOOK
VEC,R006,09/09/2024,09:00,12:00,BOOK
VEC,R006,09/09/2024,16:30,21:30,BOOK
VEC,R006,10/09/2024,13:30,18:00,BOOK
VEC,R006,10/09/2024,19:00,22:30,BOOK
VEC,R006,11/09/2024,12:30,15:00,BOOK
VEC,R006,11/09/2024,17:30,23:00,BOOK
VEC,R006,14/09/2024,14:30,22:30,BOOK
VEC,R006,15/09/2024,12:00,17:00,BOOK
VEC,R006,15/09/2024,20:30,23:30,BOOK
VEC,R007,09/09/2024,14:30,16:30,BOOK
VEC,R007,09/09/2024,18:30,23:30,BOOK
VEC,R007,10/09/2024,11:30,16:00,BOOK
VEC,R007,10/09/2024,20:30,23:00,BOOK
VEC,R007,11/09/2024,16:30,23:30,BOOK
VEC,R007,12/09/2024,13:00,15:00,BOOK
VEC,R007,12/09/2024,18:00,23:00,BOOK
VEC,R007,15/09/2024,11:30,15:00,BOOK
VEC,R007,15/09/2024,19:30,23:00,BOOK
VEC,R008,09/09/2024,12:00,15:00,BOOK
VEC,R008,09/09/2024,19:30,22:30,BOOK
VEC,R008,10/09/2024,12:00,15:00,BOOK
VEC,R008,10/09/2024,19:30,22:30,BOOK
VEC,R008,11/09/2024,14:00,16:30,BOOK
VEC,R008,11/09/2024,19:30,23:00,BOOK
VEC,R008,12/09/2024,12:00,15:00,BOOK
VEC,R008,12/09/2024,20:00,23:00,BOOK
VEC,R008,13/09/2024,07:30,10:30,BOOK
VEC,R008,13/09/2024,20:30,23:30,BOOK
VEC,R009,10/09/2024,13:00,15:00,BOOK
VEC,R009,10/09/2024,17:30,23:30,BOOK
VEC,R009,11/09/2024,07:30,12:30,BOOK
VEC,R009,11/09/2024,20:00,23:00,BOOK
VEC,R009,12/09/2024,07:30,13:30,BOOK
VEC,R009,12/09/2024,20:30,22:30,BOOK
VEC,R009,13/09/2024,13:00,17:30,BOOK
VEC,R009,13/09/2024,19:30,23:00,BOOK
VEC,R009,14/09/2024,13:00,15:00,BOOK
VEC,R009,14/09/2024,17:30,23:30,BOOK
VEC,R010,11/09/2024,12:00,15:00,BOOK
VEC,R010,11/09/2024,18:30,22:30,BOOK
VEC,R010,12/09/2024,13:00,18:00,BOOK
VEC,R010,12/09/2024,21:00,23:00,BOOK
VEC,R010,13/09/2024,13:00,16:30,BOOK
VEC,R010,13/09/2024,18:00,21:30,BOOK
VEC,R010,14/09/2024,13:00,18:00,BOOK
VEC,R010,14/09/2024,19:30,21:30,BOOK
VEC,R010,15/09/2024,15:30,22:30,BOOK
